# SCOP release 2020-04-30
# http://scop.mrc-lmb.cam.ac.uk
# based on PDB release 2020-04-21
# based on UniProt realese 2020-04-22
# based on SIFTS release 2020-04-19
# FA-DOMID FA-PDBID FA-PDBREG FA-UNIID FA-UNIREG SF-DOMID SF-PDBID SF-PDBREG SF-UNIID SF-UNIREG SCOPCLA
8045703 3H8D C:1143-1264 Q64331 1143-1264 8091604 3H8D C:1143-1264 Q64331 1143-1264 TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627
8024623 1NVP C:330-376 P52655 330-376 8037002 1NVP C:330-376 P52655 330-376 TP=1,CL=1000001,CF=2000783,SF=3001281,FA=4002463
8024628 1NVP D:54-99 P52657 54-99 8037007 1NVP D:54-99 P52657 54-99 TP=1,CL=1000001,CF=2000783,SF=3001281,FA=4002463
8020736 1FN9 A:1-365 P03527 1-365 8033116 1FN9 A:1-365 P03527 1-365 TP=1,CL=1000003,CF=2000784,SF=3001282,FA=4003686
8023160 1V74 A:591-697 P17998 591-697 8035540 1V74 A:591-697 P17998 591-697 TP=1,CL=1000003,CF=2000785,SF=3001283,FA=4001320
8028567 2FHZ B:12-104 P18000 84-176 8040946 2FHZ B:12-104 P18000 84-176 TP=1,CL=1000003,CF=2000785,SF=3001283,FA=4003376
8019995 4V4H AO:1-88 P0ADZ4 2-89 8032375 4V4H AO:1-88 P0ADZ4 2-89 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8020043 1KUQ A:3-86 P80378 4-87 8032423 1KUQ A:3-86 P80378 4-87 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8020087 1FYJ A:1-57 P07814 749-805 8032467 1FYJ A:1-57 P07814 749-805 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000769
8021328 1XEQ A:15-103 P03502 15-103 8033708 1XEQ A:15-103 P03502 15-103 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000764
8024366 1AIL A:1-70 P03495 1-70 8036745 1AIL A:1-70 P03495 1-70 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000764
8024368 1A32 A:2-86 P05766 3-87 8036747 1A32 A:2-86 P05766 3-87 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8024376 1D2D A:2-51 Q7SIA2 825-874 8036755 1D2D A:2-51 Q7SIA2 825-874 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000769
8028027 1R6T A:7-60 P23381 7-60 8040406 1R6T A:7-60 P23381 7-60 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000769
8052945 4V6W AN:81-151 Q03334 81-151 8052946 4V6W AN:81-151 Q03334 81-151 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052948 4UER O:81-151 A0A0J9X217 80-150 8052950 4UER O:81-151 A0A0J9X217 80-150 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052951 4V8M AG:81-142 Q586C2 81-142 8052953 4V8M AG:81-142 Q586C2 81-142 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052954 4V6U AQ:88-158 Q8TZD9 88-158 8052956 4V6U AQ:88-158 Q8TZD9 88-158 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052957 5A2Q N:81-150 P62277 81-150 8052959 5A2Q N:81-150 P62277 81-150 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052960 4BTS DO:85-153 E6PBT1 85-153 8052962 4BTS DO:85-153 E6PBT1 85-153 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052963 3JBP U:81-151 Q8IDB0 81-151 8052965 3JBP U:81-151 Q8IDB0 81-151 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052966 3JAM N:81-151 Q6CJK0 81-151 8052968 3JAM N:81-151 Q6CJK0 81-151 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052969 4KZY N:82-151 G1SP51 83-152 8052971 4KZY N:82-151 G1SP51 83-152 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8052972 4U4Z c3:82-151 P05756 82-151 8052974 4U4Z c3:82-151 P05756 82-151 TP=1,CL=1000000,CF=2000786,SF=3001284,FA=4000767
8021270 1NVM A:291-341 P51016 291-341 8033650 1NVM A:291-341 P51016 291-341 TP=1,CL=1000000,CF=2000157,SF=3001285,FA=4003687
8026515 1RQB A:307-474 Q70AC7 307-474 8038894 1RQB A:307-474 Q70AC7 307-474 TP=1,CL=1000000,CF=2000157,SF=3001285,FA=4002321
8027359 1SR9 B:437-491 P9WQB3 437-491 8039738 1SR9 B:437-491 P9WQB3 437-491 TP=1,CL=1000000,CF=2000157,SF=3001285,FA=4003687
8026598 3NYL A:352-547 P05067 371-566 8038977 3NYL A:352-547 P05067 371-566 TP=1,CL=1000000,CF=2000094,SF=3001286,FA=4002465
8021446 2DY1 A:378-454 Q5SI76 371-447 8033826 2DY1 A:378-454 Q5SI76 371-447 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001321
8021448 2DY1 A:570-665 Q5SI76 563-658 8033828 2DY1 A:570-665 Q5SI76 563-658 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001321
8023489 1VI7 A:138-207 P27862 135-204 8035869 1VI7 A:138-207 P27862 135-204 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001473
8025939 2BM0 A:404-478 P13551 404-478 8038318 2BM0 A:404-478 P13551 404-478 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001321
8025941 2BM0 A:600-689 P13551 600-689 8038320 2BM0 A:600-689 P13551 600-689 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001321
8026987 2CVE A:125-191 Q5SJF5 125-191 8039366 2CVE A:125-191 Q5SJF5 125-191 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001473
8027715 1T95 A:162-234 O29759 156-228 8040094 1T95 A:162-234 O29759 156-228 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4002667
8031570 1N0U A:482-560 P32324 482-560 8043948 1N0U A:482-560 P32324 482-560 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001321
8031571 1N0U A:726-842 P32324 726-842 8043949 1N0U A:726-842 P32324 726-842 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4001321
8057021 5ADY 6:364-426 P25519 364-426 8057026 5ADY 6:364-426 P25519 364-426 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4007680
8045936 2H5E A:390-529 P0A7I4 390-529 8092474 2H5E A:390-467 P0A7I4 390-467 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4004772
8045936 2H5E A:390-529 P0A7I4 390-529 8092475 2H5E A:468-529 P0A7I4 468-529 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4004772
8045934 3TR5 B:385-525 Q83DC7 385-525 8092479 3TR5 B:385-463 Q83DC7 385-463 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4004772
8045934 3TR5 B:385-525 Q83DC7 385-525 8092480 3TR5 B:464-525 Q83DC7 464-525 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4004772
8045935 3VQT B:388-528 B8DIL5 388-528 8092484 3VQT B:388-466 B8DIL5 388-466 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4004772
8045935 3VQT B:388-528 B8DIL5 388-528 8092485 3VQT B:467-528 B8DIL5 467-528 TP=1,CL=1000003,CF=2000014,SF=3001287,FA=4004772
8030210 1IYJ B:2403-2598 O35923 2403-2598 8042589 1IYJ B:2403-2598 O35923 2403-2598 TP=1,CL=1000000,CF=2000787,SF=3001288,FA=4002467
8031202 1MIU A:2399-2589 P97929 2399-2589 8043580 1MIU A:2399-2589 P97929 2399-2589 TP=1,CL=1000000,CF=2000787,SF=3001288,FA=4002467
8026867 1GH9 A:1-71 O27252 1-71 8039246 1GH9 A:1-71 O27252 1-71 TP=1,CL=1000004,CF=2000112,SF=3001300,FA=4003695
8024884 1O5Z A:2-430 Q9WY13 2-430 8037263 1O5Z A:294-430 Q9WY13 294-430 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000353
8003687 1JBW A:1-425 P15925 1-425 8091452 1JBW A:297-425 P15925 297-425 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000353
8003702 1E8C B:2-494 P22188 3-495 8091453 1E8C B:338-488 P22188 339-489 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000234
8003727 1GG4 A:1-447 P11880 1-447 8091454 1GG4 A:313-447 P11880 313-447 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000234
8058589 1P3D A:11-473 P45066 11-473 8091455 1P3D A:325-473 P45066 325-473 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000154
8058461 2JFG A:1-436 P14900 2-437 8091456 2JFG A:301-436 P14900 302-437 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000154
8003631 1J6U A:1-442 Q9WY73 1-442 8091457 1J6U A:296-442 Q9WY73 296-442 TP=1,CL=1000002,CF=2000079,SF=3001290,FA=4000154
8017873 1NIJ A:224-318 P24203 224-318 8017874 1NIJ A:224-318 P24203 224-318 TP=1,CL=1000003,CF=2000788,SF=3001289,FA=4003691
8021039 1XW3 A:37-137 Q9BYN0 37-137 8033419 1XW3 A:37-137 Q9BYN0 37-137 TP=1,CL=1000003,CF=2000791,SF=3001301,FA=4001737
8021919 2HWJ A:4-204 A9CIY5 4-204 8034299 2HWJ A:4-204 A9CIY5 4-204 TP=1,CL=1000003,CF=2000791,SF=3001301,FA=4001736
8028985 1VK1 A:11-242 Q8U3S5 11-242 8041364 1VK1 A:11-242 Q8U3S5 11-242 TP=1,CL=1000003,CF=2000791,SF=3001301,FA=4002479
8029177 1VZ0 A:23-115 Q72H91 23-115 8041556 1VZ0 A:23-115 Q72H91 23-115 TP=1,CL=1000003,CF=2000791,SF=3001301,FA=4002475
8021487 1O4V A:2-170 Q9WYS7 2-170 8033867 1O4V A:2-170 Q9WYS7 2-170 TP=1,CL=1000002,CF=2000016,SF=3001291,FA=4003688
8028266 1U11 A:20-178 Q2QJL3 20-178 8040645 1U11 A:20-178 Q2QJL3 20-178 TP=1,CL=1000002,CF=2000016,SF=3001291,FA=4003688
8031645 1XMP A:2-156 A0A347ZYA1 2-156 8044023 1XMP A:2-156 A0A347ZYA1 2-156 TP=1,CL=1000002,CF=2000016,SF=3001291,FA=4003688
8031728 1QCZ A:7-169 P0AG18 7-169 8044106 1QCZ A:7-169 P0AG18 7-169 TP=1,CL=1000002,CF=2000016,SF=3001291,FA=4003688
8023986 2QSB A:2-86 Q9HKJ8 2-86 8036365 2QSB A:2-86 Q9HKJ8 2-86 TP=1,CL=1000000,CF=2001119,SF=3001292,FA=4001322
8024130 2QZG A:4-91 Q6LY05 4-91 8036509 2QZG A:4-91 Q6LY05 4-91 TP=1,CL=1000000,CF=2001119,SF=3001292,FA=4001322
8020671 2HI7 B:14-162 P0A6M2 14-162 8033051 2HI7 B:14-162 P0A6M2 14-162 TP=1,CL=1000000,CF=2001119,SF=3001302,FA=4001329
8030212 1IYJ B:2761-2897 O35923 2761-2897 8042591 1IYJ B:2761-2897 O35923 2761-2897 TP=1,CL=1000000,CF=2000792,SF=3001303,FA=4002477
8031203 1MIU A:2752-2887 P97929 2752-2887 8043581 1MIU A:2752-2887 P97929 2752-2887 TP=1,CL=1000000,CF=2000792,SF=3001303,FA=4002477
8029076 1LSH A:285-620 Q91062 285-620 8041455 1LSH A:285-620 Q91062 285-620 TP=1,CL=1000000,CF=2000085,SF=3001293,FA=4001323
8026250 1QSA A:1-450 P0AGC3 28-477 8038629 1QSA A:1-450 P0AGC3 28-477 TP=1,CL=1000000,CF=2000085,SF=3001304,FA=4001328
8023213 1CBK A:1-160 P43777 1-160 8035593 1CBK A:1-160 P43777 1-160 TP=1,CL=1000003,CF=2000014,SF=3001294,FA=4001325
8032052 3IP0 A:1-158 P26281 2-159 8044430 3IP0 A:1-158 P26281 2-159 TP=1,CL=1000003,CF=2000014,SF=3001294,FA=4001325
8020731 1HBN B:2-188 P11560 2-188 8033111 1HBN B:2-188 P11560 2-188 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001334
8020732 1HBN C:2-248 P11562 2-248 8033112 1HBN C:2-248 P11562 2-248 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001330
8020743 1HBN A:2-269 P11558 2-269 8033123 1HBN A:2-269 P11558 2-269 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001334
8023217 1E6V C:7-254 Q49604 7-254 8035597 1E6V C:7-254 Q49604 7-254 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001330
8023220 1E6Y C:3002-3248 P07964 2-248 8035600 1E6Y C:3002-3248 P07964 2-248 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001330
8023228 1E6V A:8-272 Q49605 8-272 8035608 1E6V A:8-272 Q49605 8-272 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001334
8023234 1E6Y A:1002-1283 P07962 2-283 8035614 1E6Y A:1002-1283 P07962 2-283 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001334
8023238 1E6V B:7-189 Q49601 7-189 8035618 1E6V B:7-189 Q49601 7-189 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001334
8023243 1E6Y B:2002-2185 P07955 2-185 8035623 1E6Y B:2002-2185 P07955 2-185 TP=1,CL=1000003,CF=2000014,SF=3001305,FA=4001334
8021544 1IEG B:305-556 P16753 5-256 8033924 1IEG B:305-556 P16753 5-256 TP=1,CL=1000001,CF=2000789,SF=3001295,FA=4002472
8023135 2PBK A:3-230 O36607 3-230 8035515 2PBK A:3-230 O36607 3-230 TP=1,CL=1000001,CF=2000789,SF=3001295,FA=4002472
8030140 1AT3 A:17-247 Q69527 17-247 8042519 1AT3 A:17-247 Q69527 17-247 TP=1,CL=1000001,CF=2000789,SF=3001295,FA=4002472
8030143 1VZV A:11-231 P09286 11-231 8042522 1VZV A:11-231 P09286 11-231 TP=1,CL=1000001,CF=2000789,SF=3001295,FA=4002472
8031681 1O6E B:4-235 P03234 4-235 8044059 1O6E B:4-235 P03234 4-235 TP=1,CL=1000001,CF=2000789,SF=3001295,FA=4002472
8024895 1O65 A:11-234 P32157 1-224 8037274 1O65 A:11-234 P32157 1-224 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4000907
8025352 1ORU A:1-182 O32079 1-182 8037731 1ORU A:1-182 O32079 1-182 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4000907
8030145 1A49 A:116-217 P11974 117-218 8042524 1A49 A:116-217 P11974 117-218 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4002474
8030172 1PKM A:116-217 P11979 117-218 8042551 1PKM A:116-217 P11979 117-218 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4002474
8030178 1PKL G:88-186 Q27686 89-187 8042557 1PKL G:88-186 Q27686 89-187 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4002474
8030184 1A3X A:88-188 P00549 88-188 8042563 1A3X A:88-188 P00549 88-188 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4002474
8030185 1E0T A:70-167 P0AD61 70-167 8042564 1E0T A:70-167 P0AD61 70-167 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4002474
8030668 2VGB A:160-261 P30613 160-261 8043047 2VGB A:160-261 P30613 160-261 TP=1,CL=1000001,CF=2000800,SF=3001296,FA=4002474
8019844 1J2J B:168-208 Q9UJY5 168-208 8032224 1J2J B:168-208 Q9UJY5 168-208 TP=1,CL=1000000,CF=2000030,SF=3001306,FA=4003696
8020067 1WR6 A:211-300 Q9NZ52 211-300 8032447 1WR6 A:211-300 Q9NZ52 211-300 TP=1,CL=1000000,CF=2000030,SF=3001306,FA=4003696
8020072 1WRD A:215-307 O60784 215-307 8032452 1WRD A:215-307 O60784 215-307 TP=1,CL=1000000,CF=2000030,SF=3001306,FA=4003696
8023172 1HF8 A:150-281 O55012 150-281 8035552 1HF8 A:150-281 O55012 150-281 TP=1,CL=1000000,CF=2000030,SF=3001306,FA=4000581
8023185 1HX8 A:167-299 Q9VI75 167-299 8035565 1HX8 A:167-299 Q9VI75 167-299 TP=1,CL=1000000,CF=2000030,SF=3001306,FA=4000581
8025750 1PG5 B:105-160 P74766 105-160 8038129 1PG5 B:105-160 P74766 105-160 TP=1,CL=1000004,CF=2000112,SF=3001307,FA=4003697
8029155 2FZC B:101-153 P0A7F3 101-153 8041534 2FZC B:101-153 P0A7F3 101-153 TP=1,CL=1000004,CF=2000112,SF=3001307,FA=4003697
8023082 1B64 A:2-91 P24534 136-225 8035462 1B64 A:2-91 P24534 136-225 TP=1,CL=1000003,CF=2000014,SF=3001297,FA=4001327
8023084 1F60 B:1117-1206 P32471 117-206 8035464 1F60 B:1117-1206 P32471 117-206 TP=1,CL=1000003,CF=2000014,SF=3001297,FA=4001327
8023089 1GH8 A:1-89 O27734 1-89 8035469 1GH8 A:1-89 O27734 1-89 TP=1,CL=1000003,CF=2000014,SF=3001297,FA=4001327
8029304 1T3U A:6-97 Q9HTW3 6-97 8041683 1T3U A:6-97 Q9HTW3 6-97 TP=1,CL=1000003,CF=2000790,SF=3001298,FA=4001324
8021843 2HKV A:1-147 B1YEV7 1-147 8034223 2HKV A:1-147 B1YEV7 1-147 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4001349
8022470 2NSF A:1-160 Q8NLC1 1-160 8034850 2NSF A:1-160 Q8NLC1 1-160 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4001390
8022791 2OU6 A:2-184 Q9RVG4 2-184 8035171 2OU6 A:2-184 Q9RVG4 2-184 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4001349
8022880 2OQM A:1-171 Q12RS4 1-171 8035260 2OQM A:1-171 Q12RS4 1-171 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4001388
8022937 2P1A A:1-142 Q739H9 1-142 8035317 2P1A A:1-142 Q739H9 1-142 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4001349
8026605 1RXQ A:5-178 O31562 5-178 8038984 1RXQ A:5-178 O31562 5-178 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4002482
8028099 2F22 A:1-141 Q9RC77 1-141 8040478 2F22 A:1-141 Q9RC77 1-141 TP=1,CL=1000000,CF=2000794,SF=3001308,FA=4001349
8029001 2FUP A:1-130 Q9HYP4 1-130 8041380 2FUP A:1-130 Q9HYP4 1-130 TP=1,CL=1000000,CF=2000094,SF=3001299,FA=4001326
8024668 1JJC B:682-785 Q5SGX1 682-785 8037047 1JJC B:682-785 Q5SGX1 682-785 TP=1,CL=1000003,CF=2000014,SF=3001309,FA=4001333
8020422 1B7B A:2-308 P0A2X8 2-308 8032802 1B7B A:2-308 P0A2X8 2-308 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4000773
8020428 1E19 A:2-314 P95474 2-314 8032808 1E19 A:2-314 P95474 2-314 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4000773
8021917 1YBD A:6-241 P65932 4-239 8034297 1YBD A:6-241 P65932 4-239 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8023054 1Z9D A:4-241 P65938 2-239 8035434 1Z9D A:4-241 P65938 2-239 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8024164 2A1F A:2-237 P43890 2-237 8036543 2A1F A:2-237 P43890 2-237 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8024755 2AKO A:2-251 Q9PJ29 2-251 8037134 2AKO A:2-251 Q9PJ29 2-251 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8024835 2AP9 A:6-296 P9WQ01 4-294 8037214 2AP9 A:6-296 P9WQ01 4-294 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4002449
8025985 2BNE B:5-241 P0A7E9 5-241 8038364 2BNE B:5-241 P0A7E9 5-241 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8026081 2BRX A:1-225 Q8U122 1-225 8038460 2BRX A:1-225 Q8U122 1-225 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8026225 2BTY A:1-282 Q9X2A4 1-282 8038604 2BTY A:1-282 Q9X2A4 1-282 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4002449
8026253 2BUF A:2-301 Q9HTN2 2-301 8038632 2BUF A:2-301 Q9HTN2 2-301 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4002449
8026326 2CDQ A:25-323 Q9LYU8 84-382 8038705 2CDQ A:25-323 Q9LYU8 84-382 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8026484 1GS5 A:1-258 P0A6C8 1-258 8038863 1GS5 A:1-258 P0A6C8 1-258 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4002449
8029983 2HMF A:2-300 Q57991 2-300 8042362 2HMF A:2-300 Q57991 2-300 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8030388 2IJ9 A:1-219 O28237 1-219 8042767 2IJ9 A:1-219 O28237 1-219 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8030579 2J0W A:3-291 P08660 3-291 8042958 2J0W A:3-291 P08660 3-291 TP=1,CL=1000002,CF=2000796,SF=3001310,FA=4003224
8021732 2GSC A:9-125 Q8PD29 9-125 8034112 2GSC A:9-125 Q8PD29 9-125 TP=1,CL=1000000,CF=2001119,SF=3001311,FA=4001332
8024569 2RLD C:1-115 Q8AAW0 1-115 8036948 2RLD C:1-115 Q8AAW0 1-115 TP=1,CL=1000000,CF=2001119,SF=3001311,FA=4001332
8026255 1D8D A:55-377 Q04631 55-377 8038634 1D8D A:55-377 Q04631 55-377 TP=1,CL=1000000,CF=2000085,SF=3001312,FA=4001331
8026258 1DCE A:1-241,A:351-443 Q08602 1-241,351-443 8038637 1DCE A:1-241,A:351-443 Q08602 1-241,351-443 TP=1,CL=1000000,CF=2000085,SF=3001312,FA=4001331
8029794 2H6F A:55-369 P49354 55-369 8042173 2H6F A:55-369 P49354 55-369 TP=1,CL=1000000,CF=2000085,SF=3001312,FA=4001331
8024377 2HP8 A:1-68 P56277 1-68 8036756 2HP8 A:1-68 P56277 1-68 TP=1,CL=1000000,CF=2000795,SF=3001313,FA=4000772
8030471 1U97 A:1-69 Q12287 1-69 8042850 1U97 A:1-69 Q12287 1-69 TP=1,CL=1000000,CF=2000795,SF=3001313,FA=4003007
8031413 2P8I A:1-115 Q13JM0 1-115 8043791 2P8I A:1-115 Q13JM0 1-115 TP=1,CL=1000003,CF=2000014,SF=3001314,FA=4003703
8021890 2HSJ A:1-211 A0A0H2UQU7 1-211 8034270 2HSJ A:1-211 A0A0H2UQU7 1-211 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4003709
8022586 2O14 A:160-367 P42304 175-382 8034966 2O14 A:160-367 P42304 175-382 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4002126
8022669 1YZF A:1-195 Q839J6 1-195 8035049 1YZF A:1-195 Q839J6 1-195 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4000470
8023001 1Z8H A:5-205 Q8YWS4 5-205 8035381 1Z8H A:5-205 Q8YWS4 5-205 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4001011
8023334 1FXW F:6-217 P68401 6-217 8035714 1FXW F:6-217 P68401 6-217 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4003709
8023593 1ZMB A:1-282 Q97LM8 1-282 8035973 1ZMB A:1-282 Q97LM8 1-282 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4002509
8024846 2APJ A:17-260 Q8L9J9 17-260 8037225 2APJ A:17-260 Q8L9J9 17-260 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4002509
8025486 1K7C A:1-233 Q00017 18-250 8037865 1K7C A:1-233 Q00017 18-250 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4003713
8027276 3BZW A:38-285 Q8A3J3 38-285 8039655 3BZW A:38-285 Q8A3J3 38-285 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4002131
8028264 3DC7 A:18-224 3DC7_A 1-207 8040643 3DC7 A:18-224 3DC7_A 1-207 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4002131
8031739 1ESC A:4-305 P22266 43-344 8044117 1ESC A:4-305 P22266 43-344 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4003701
8031740 1FLC A:1-150,A:307-427 P07975 15-164,321-441 8044118 1FLC A:1-150,A:307-427 P07975 15-164,321-441 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4003705
8031741 1ES9 A:5-216 Q29460 5-216 8044119 1ES9 A:5-216 Q29460 5-216 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4003709
8032187 1U8U A:1-180 P0ADA1 27-206 8044565 1U8U A:1-180 P0ADA1 27-206 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4000470
8045150 4I8I A:30-288 A7V1G8 30-288 8056996 4I8I A:30-247 A7V1G8 30-247 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4004322
8045198 4NRD F:21-227 A7M4B4 21-227 8057051 4NRD F:21-227 A7M4B4 21-227 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4004347
8045199 4M8K A:0-228 A7UZL6 22-228 8057052 4M8K A:0-228 A7UZL6 22-228 TP=1,CL=1000002,CF=2000016,SF=3001315,FA=4004347
8022600 2E2A A:1-104 P23532 1-104 8034980 2E2A A:1-104 P23532 1-104 TP=1,CL=1000000,CF=2000030,SF=3001316,FA=4000774
8020940 1WVF A:243-521 P09788 243-521 8033320 1WVF A:243-521 P09788 243-521 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4001335
8021137 1I19 A:274-613 Q7SID9 222-561 8033517 1I19 A:274-613 Q7SID9 222-561 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4003547
8023244 1E8G A:274-560 P56216 274-560 8035624 1E8G A:274-560 P56216 274-560 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4001335
8023272 1F0X A:274-567 P06149 274-567 8035652 1F0X A:274-567 P06149 274-567 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4001341
8029204 1W1O A:246-534 Q9T0N8 246-534 8041583 1W1O A:246-534 Q9T0N8 246-534 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4002687
8045162 4NCR A:195-461 P9WJF1 195-461 8057006 4NCR A:195-432 P9WJF1 195-432 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4004332
8045163 4AUT A:202-468 A0R607 194-460 8057009 4AUT A:202-439 A0R607 194-431 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4004332
8045165 2VFR A:180-417 Q9ZBU1 180-417 8057017 2VFR A:180-389 Q9ZBU1 180-389 TP=1,CL=1000003,CF=2000014,SF=3001317,FA=4004332
8028991 1VKB A:1-149 Q923B0 1-149 8041370 1VKB A:1-149 Q923B0 1-149 TP=1,CL=1000003,CF=2000798,SF=3001318,FA=4002485
8030589 1V30 A:7-116 O58558 7-116 8042968 1V30 A:7-116 O58558 7-116 TP=1,CL=1000003,CF=2000798,SF=3001318,FA=4002485
8031520 1XHS A:1-113 P0AE48 1-113 8043898 1XHS A:1-113 P0AE48 1-113 TP=1,CL=1000003,CF=2000798,SF=3001318,FA=4002485
8024254 1IK9 A:1-117 Q13426 1-117 8036633 1IK9 A:1-117 Q13426 1-117 TP=1,CL=1000001,CF=2000797,SF=3001319,FA=4002483
8044652 2QM4 C:1-227 Q9H9Q4 1-227 8051827 2QM4 C:1-125 Q9H9Q4 1-125 TP=1,CL=1000001,CF=2000797,SF=3001319,FA=4004063
